Kanji;Level;Grade;Strokes;UpperReading;LowerReading;MeaningEng;MeaningRus;;
太;2;2;4;タイ;ふと-い, ふと-る;fat, big;;;
重;2;3;9;ジュウ;おも-い;heavy, important;;;
軽;2;3;12;ケイ;かる-い;light;;;
狭;4;8;9;キョウ;せま-い;narrow;;;
弱;2;2;10;ジャク;よわ-い, よわ-る;weak;;;
眠;4;8;10;ミン;ねむ-い, ねむ-る;sleep;;;
苦;3;3;8;ク;くる-しい, にが-い, くる-しむ;pain, bitter;;;
簡;4;6;18;カン;-;simple, epistle;;;
単;3;4;9;タン;-;simple;;;
空;1;1;8;クウ;あ-く, そら,あ-ける;sky, air, empty, vacant;;;
港;3;3;12;コウ;みなと;port, harbor;;;
飛;3;4;9;ヒ;と-ぶ, と-ばす;fly;;;
階;3;3;12;カイ;-;step, floor;;;
建;2;4;9;ケン;た-つ, た-てる;build, construct;;;
設;3;5;11;セツ, セッ-;-;found, establish;;;
完;3;4;7;カン;-;complete;;;
成;3;4;6;セイ;な-る, なり;form, emerge;;;
費;3;4;12;ヒ;-;spend, expense;;;
放;3;3;8;ホウ;-;release, let go;;;
位;3;4;7;イ;くらい;position, approximate;;;
置;3;4;13;チ;お-く;put, place;;;
横;3;3;15;オウ;よこ;horizontal side, wide;;;
向;3;3;6;コウ;む-く, む-こう, む-ける;direction, orientate;;;
原;3;2;10;ゲン;はら;field, origin, basic;;;
平;3;3;5;ヘイ, ビョウ;たい-ら;plain, flat, even;;;
野;2;2;11;ヤ;の;field, wild, untamed;;;
風;2;2;9;フウ;かぜ;wind, atmosphere;;;
両;3;3;6;リョウ;-;both, two, money;;;
橋;3;3;16;キョウ;はし;bridge;;;
老;3;4;6;ロウ;(お-いる);aged;;;
族;2;3;11;ゾク;-;tribe, clan;;;
配;3;3;10;ハイ, -パイ;くば-る;supply, deliver;;;
術;3;5;11;ジュツ;-;art, skill;;;
退;3;5;9;タイ;-;retreat;;;
効;4;5;8;コウ;き-く;effect;;;
民;2;4;5;ミン;-;people, folk;;;
訪;4;6;11;ホウ;たず-ねる, おとず-れる;visit;;;
顔;2;2;18;ガン;かお;face;;;
歯;3;3;12;シ;は;tooth;;;
卒;3;4;8;ソツ;-;graduate;;;
論;3;6;15;ロン;-;discuss, debate;;;
実;3;3;8;ジツ;み, みの-る;fruit, real;;;
調;3;3;15;チョウ;しら-べる;research, tone;;;
必;3;4;5;ヒツ;かなら-ず;necessity;;;
要;3;4;9;ヨウ;い-る;indispensable, essential;;;
類;3;4;18;ルイ;-;genus, sort;;;
得;3;4;11;トク;え-る;gain, obtain;;;
失;3;4;5;シツ, シッ-;うしな-う;lose;;;
礼;3;3;5;レイ;-;bow, gratitude, ceremony;;;
増;3;5;14;ゾウ;ふ-える, ま-す, ふ-やす;add, increase;;;
加;3;4;5;カ;くわ-わる, くわ-える;add;;;
減;3;5;12;ゲン;へ-る, へ-らす;decrease;;;
変;3;4;9;ヘン;か-わる, か-える;change;;;
移;3;5;11;イ;うつ-る, うつ-す;transfer;;;
続;3;4;13;ゾク;つづ-く, つづ-ける;continue;;;
過;3;5;12;カ;す-ぎる, す-ごす;exceed, pass;;;
進;2;3;11;シン;すす-む, すす-める;proceed, advance;;;
以;2;4;5;イ;-;from, than;;;
美;3;3;9;ビ;うつく-しい;beauty;;;
比;4;5;4;ヒ;くら-べる;compare;;;
較;4;8;13;カク;-;contrast;;;
反;3;3;4;ハン;-;opposite, anti- reserve;;;
対;3;3;7;タイ, ツイ;-;counter-, against;;;
賛;4;5;15;サン;-;approve;;;
共;3;4;6;キョウ;(とも);common, together;;;
直;3;2;8;チョク;なお-る, なお-す;direct, just, straight;;;
表;3;3;8;ヒョウ;あらわ-す;surface, appear, table;;;
現;3;5;11;ゲン;あらわ-れる, (あらわ-す);appearance, presence;;;
初;3;4;7;ショ;はじ-め, はじ-めて;begin, first;;;
全;3;3;6;ゼン;まった-く;whole, all;;;
最;2;4;12;サイ;もっと-も;most;;;
無;3;4;12;ム, ブ;な-い;no, non-, un-, dis-;;;
非;3;5;8;ヒ;-;not, non-, no good;;;
第;3;3;11;ダイ;-;rank;;;
的;3;4;8;テキ;-;target, (suffix to make na-Adj.);;;
性;3;5;8;セイ, (ショウ);-;sex, quality, (suffix to make N.);;;
法;3;4;8;ホウ, -ポウ;-;law, rules, method;;;
制;3;5;8;セイ;-;control, system;;;
課;3;4;15;カ;-;impose, assign, section;;;
丁;0;3;0;チョウ, テイ;;;;;
丈;0;8;0;ジョウ;たけ;;;;
与;3;8;0;ヨ;あた(える), あずか(る);give, award;;;
丑;0;10;0;;;;;;
且;0;8;0;かつ;;;;;
世;2;3;0;セイ, セ;よ;generation, world, society, public;;;
